3,CNNNonMatureLocationWTFemale10
4,CNNNonMatureLocationWTFemale17
2,CNNNonMatureLocationWTFemale18
3,CNNNonMatureLocationWTFemale37
2,CNNNonMatureLocationWTFemale38
2,CNNNonMatureLocationWTFemale40
1,CNNNonMatureLocationWTFemale41
2,CNNNonMatureLocationWTFemale45
1,CNNNonMatureLocationWTFemale46
1,CNNNonMatureLocationWTFemale47
1,CNNNonMatureLocationWTFemale48
1,CNNNonMatureLocationWTFemale4
3,CNNNonMatureLocationWTFemale50
4,CNNNonMatureLocationWTFemale51
1,CNNNonMatureLocationWTFemale53
1,CNNNonMatureLocationWTFemale56
3,CNNNonMatureLocationWTFemale58
1,CNNNonMatureLocationWTFemale59
1,CNNNonMatureLocationWTFemale60
1,CNNNonMatureLocationWTFemale61
2,CNNNonMatureLocationWTFemale6
1,CNNNonMatureLocationWTFemale8
1,CNNNonMatureLocationWTMale10
7,CNNNonMatureLocationWTMale13
4,CNNNonMatureLocationWTMale16
2,CNNNonMatureLocationWTMale18
1,CNNNonMatureLocationWTMale22
1,CNNNonMatureLocationWTMale24
2,CNNNonMatureLocationWTMale26
3,CNNNonMatureLocationWTMale29
1,CNNNonMatureLocationWTMale30
2,CNNNonMatureLocationWTMale31
1,CNNNonMatureLocationWTMale34
1,CNNNonMatureLocationWTMale36
1,CNNNonMatureLocationWTMale38
1,CNNNonMatureLocationWTMale41
1,CNNNonMatureLocationWTMale43
1,CNNNonMatureLocationWTMale46
1,CNNNonMatureLocationWTMale51
1,CNNNonMatureLocationWTMale59
1,CNNNonMatureLocationWTMale5
1,CNNNonMatureLocationWTMale8
1,CNNNonMatureLocationWTFemale10
1,CNNNonMatureLocationWTFemale13
1,CNNNonMatureLocationWTFemale18
1,CNNNonMatureLocationWTFemale37
1,CNNNonMatureLocationWTFemale47
1,CNNNonMatureLocationWTFemale56
3,CNNNonMatureLocationWTFemale58
2,CNNNonMatureLocationWTFemale60
1,CNNNonMatureLocationWTFemale61
1,CNNNonMatureLocationWTMale13
1,CNNNonMatureLocationWTMale16
1,CNNNonMatureLocationWTMale34
1,CNNNonMatureLocationWTMale39
1,CNNNonMatureLocationWTMale52
